English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
"average, mean",B1,masculine,ממוצע,מְמוּצָע,mimutsá,מספר ממוצע של נתונים,הממוצע במבחן היה גבוה.,הַמְּמֻצָּע בַּמִּבְחָן הָיָה גָּבוֹהַּ.,The average score on the test was high.
awake,A2,masculine,ער,עֵר,er,מי שאינו ישן,הוא נשאר ער עד מאוחר.,הוּא נִשְׁאַר עֵר עַד מְאוּחָר.,He stayed awake until late.
baby,A1,masculine,תינוק,תִּינוֹק,tinók,ילד רך בשנים,התינוק ישן.,הַתִּינוֹק יָשֵׁן.,The baby is sleeping.
back,A1,masculine,גב,גַּב,gav,החלק האחורי של הגוף,הגב שלי כואב.,הַגַּב שֶׁלִּי כּוֹאֵב.,My back hurts.
background,B1,masculine,רקע,רֶקַע,réka,הרקע שמאחורי דבר,ברקע של התמונה יש הרים.,בָּרֶקַע שֶׁל הַתְּמוּנָה יֵשׁ הָרִים.,There are mountains in the background of the picture.
bad,A1,adjective,רע,רַע,ra,בעל תכונות שליליות,היום רע מאוד.,הַיּוֹם רַע מְאוֹד.,Today is very bad.
bagel,A2,masculine,בייגל,בֵּיגֶל,béigel,מאפה עגול עם חור,היא אוהבת לאכול בייגל עם גבינה.,הִיא אוֹהֶבֶת לֶאֱכֹל בֵּייגֶּל עִם גְּבִינָה.,She likes eating a bagel with cheese.
bake,A2,verb,אפה,אַפָּה,afá,הכין מאפה בתנור,היא אפתה עוגה ליום ההולדת.,הִיא אָפְתָה עוּגָה לַיּוֹם הַהוּלֶדֶת.,She baked a cake for the birthday.
baker,A2,masculine,אופה,אוֹפֶה,ofé,אדם שאופה לחם ומאפים,האופה מכין לחם טרי כל יום.,הָאוֹפֶה מֵכִין לֶחֶם טָרִי כָּל יוֹם.,The baker prepares fresh bread every day.
baking soda,B2,feminine,"סודה לשתייה",סוֹדָה לִשְׁתִּיָּיה,sodá lishtíya,,סודה לשתיה מסייעת להפחית חמציות בקיבה.,סוֹדָה לִשְׁתִיָּיה מְסַיַּעַת לְהַפְחִית חֹמְצִיּוּת בַּקֵּבָה.,Baking soda helps reduce stomach acidity.
bald,B2,adjective,קירח,קֵירֵחַ,keréaħ,,"אחי קרח, והוא לא מתביש בזה.","אַחִי קֵרֵחַ, וְהוּא לֹא מִתְבַּיֵּשׁ בְּזֶה.","My brother is bald, and he is not ashamed of it."
ball,A2,masculine,כדור,כַּדּוּר,kadúr,חפץ עגול המשמש למשחק,הילד זרק כדור לחצר.,הַיֶּלֶד זָרַק כַּדּוּר לַחָצֵר.,The child threw a ball into the yard.
banana,A1,feminine,בננה,בָּנָנָה,banána,מוסד כספי לשמירת כספים ולמתן הלוואות,אני אוהב בננה.,אֲנִי אוֹהֵב בָּנָנָה.,I like bananas.
bank,A1,masculine,בנק,בַּנְק,bank,מצב שבו הכול מתקבל באופן חיובי,הכסף שלי בבנק.,הַכֶּסֶף שֶׁלִּי בַּבָּנְק.,My money is in the bank.
bar,A2,masculine,בר,בָּר,bar,מקום למכירת משקאות,הלילה נצא לבר החדש.,הַלַּיְלָה נֵצֵא לַבָּר הֶחָדָשׁ.,"Tonight, we will go to the new bar."
base,A2,masculine,בסיס,בָּסִיס,basís,יסוד שעליו עומדים,הבסיס הצבאי נמצא במדבר.,הַבָּסִיס הַצְּבָאִי נִמְצָא בַּמִּדְבָּר.,The military base is located in the desert.
"basic, fundamental",A2,masculine,בסיסי,בְּסִיסִי,bsisí,הדבר העיקרי והפשוט ביותר,הרעיון הזה בסיסי מאוד.,הַרְעָיוֹן הַזֶּה בְּסִיסִי מְאוֹד.,This idea is very basic.
bath,A1,feminine,אמבטיה,אַמְבַּטְיָה,ambátya,חדר לרחצה עם מים,הילד נכנס לאמבטיה.,הַיֶּלֶד נִכְנָס לָאַמְבַּטְיָה.,The child gets into the bathtub.
bathhouse,B2,masculine,מרחץ,מֶרְחָץ,merħáts,,במרחץ היה חם ומרגיע.,בַּמֶּרְחָץ הָיָה חַם וּמַרְגִּיעַ.,The bathhouse was hot and relaxing.
bathroom,A2,masculine,חדר אמבטיה,חֲדַר אַמְבַּטְיָה,ħadár ambátya,חדר לרחצה,החדר אמבטיה מסודר ונקי.,הַחֶדֶר אַמְבַּטְיָה מְסֻדָּר וְנָקִי.,The bathroom is tidy and clean.
be born,A2,verb,נולד,נוֹלַד,nolád,יצא לאוויר העולם בלידה,התינוק נולד בבית החולים.,הַתִּינוֹק נוֹלַד בְּבֵית הַחוֹלִים.,The baby was born in the hospital.
"be crazy, go crazy",B1,verb,השתגע,הִשְׁתַּגֵּעַ,hishtagéa,נהיה לא שפוי,"כשהוא שמע את החדשות, הוא השתגע.","כְּשֶׁהוּא שָׁמַע אֶת הַחַדָּשׁוֹת, הוּא הִשְׁתַּגֵּעַ.","When he heard the news, he went crazy."
be created,B2,verb,יוצר,יוֹצֵר,yutsár,,חומר זה נוצר מתהליך טבעי.,חֹמֶר זֶה נוֹצַר מִתַּהֲלִיךְ טִבְעִי.,This material is created through a natural process.
be expressed,B2,verb,בוטא,בֻּטָּא,buta,הובע במילים,הכעס בוטא באופן חזק.,הַכַּעַס בֻּטָּא בְּאוֹפֶן חָזָק.,The anger was expressed strongly.
be found,A2,verb,נמצא,נִמְצָא,nimtsá,היה במצב של מציאות,הכיסא נמצא בסלון.,הַכִּסֵּא נִמְצָא בַּסָּלוֹן.,The chair is in the living room.
be legislated,C,verb,נחקק,נֶחְקַק,nékh'kák,הפך לחוק מחייב,חוקי היסוד נחקקו בעשורים הראשונים למדינה.,חֻקֵּי הַיְּסוֹד נֶחְקְקוּ בָּעֲשׂוֹרִים הָרִאשׁוֹנִים לַמְּדִינָה.,The Basic Laws were legislated in the state’s early decades.
be sorry,B1,verb,הצטער,הִצְטַעֵר,hitstaér,הרגיש חרטה,הצטערתי שאמרתי את זה.,הִצְטַעַרְתִּי שֶׁאָמַרְתִּי אֶת זֶה.,I was sorry that I said that.
beach,A1,masculine,חוף,חוֹף,ħof,מקום שבו היבשה נוגעת בים,החוף הזה יפה מאוד.,הַחוֹף הַזֶּה יָפֶה מְאוֹד.,This beach is very beautiful.
bean,A2,feminine,שעועית,שְׁעוּעִית,sheuít,קטנית ירוקה או אדומה,היא בישלה מרק עם שעועית.,הִיא בִּשְּׁלָה מָרָק עִם שְׁעוּעִית.,She cooked soup with beans.
bear,A1,masculine,דוב,דּוֹב,dov,חיית בר גדולה עם פרווה,הדובה גדול וחזק.,הַדֻּבָּה גָּדוֹל וְחָזָק.,The bear is big and strong.
beard,A2,masculine,זקן,זָקָן,zakán,שיער הפנים מתחת לפה,לאבא יש זקן ארוך.,לָאַבָּא יֵשׁ זָקָן אָרוֹךְ.,Dad has a long beard.
bearded,B2,adjective,מזוקן,מְזוּקָּן,mzukan,,הסבא שלי מזוקן וגאה בזקן שלו.,הַסַּבָּא שֶׁלִּי מְזוּקָּן וְגֵאֶה בַּזָּקָן שֶׁלוֹ.,My grandfather is bearded and proud of his beard.
beast,B1,feminine,בהמה,בְּהֵמָה,behemá,חיה גדולה במשק,הבהמה הזאת גדולה מאוד.,הַבֶּהֱמָה הַזֹּאת גְּדוֹלָה מְאוֹד.,This beast is very big.
"beautiful, nice",A1,adjective,יפה,יָפֶה,yafé,בעל מראה נעים או מושך,הבית שלי יפה מאוד.,הַבַּיִת שֶׁלִּי יָפֶה מְאוֹד.,My house is very beautiful.
"beauty, niceness",A2,masculine,יופי,יוֹפִי,yófi,מראה יפה או טוב,היופי של הנוף מדהים.,הַיּוֹפִי שֶׁל הַנּוֹף מַדְהִים.,The beauty of the landscape is amazing.
beaver,A2,masculine,בונה,בּוֹנֶה,boné,חיה הבונה סכרים בנהרות,הבונה בונה סוכה על הנהר.,הַבּוֹנֶה בּוֹנֶה סָכָּה עַל הַנָּהָר.,The beaver is building a dam on the river.
because,A1,,כי,כִּי,ki,מילת חיבור המסבירה סיבה,אני עייף כי לא ישנתי.,אֲנִי עָיֵף כִּי לֹא יָשַׁנְתִּי.,I am tired because I didn’t sleep.
because of,A2,,בגלל,בִּגְלַל,biglál,מילת יחס לציון סיבה,הוא איחר בגלל הפקקים.,הוּא אֵיחֵר בִּגְלַל הַפַּקָּקִים.,He was late because of the traffic.
become,B1,,נעשה,נַעֲשָׂה,naasá,הפך להיות,"בתוך המטוס הגדול, המצב נעשה לחץ.","בְּתוֹךְ הַמְּטוֹס הַגָּדוֹל, הַמַּצָּב נַעֲשָׂה לָחָץ.","Inside the big airplane, the situation became stressful."
become,B1,,הפך,הָפַךְ,hafáħ,השתנה להיות דבר אחר,השמש הפכה את השמים לכתומים.,הַשֶּׁמֶשׁ הָפְכָה אֶת הַשָּׁמַיִם לַכְּתוּמִים.,The sun turned the sky orange.
bed,A1,feminine,מיטה,מִיטָּה,mitá,רהיט לשינה,המיטה שלי נקיה.,הַמִּיטָּה שֶׁלִּי נָקִיָּה.,My bed is clean.
bedroom,A2,masculine,חדר שינה‎,חֲדַר שֵׁינָה,ħadár shená,חדר לשינה,אני אוהב לישון בחדר השינה.,אֲנִי אוֹהֵב לִישׁוֹן בְּחֶדֶר הַשֵּׁנָה.,I like to sleep in the bedroom.
beer,A2,feminine,בירה,בִּירָה,bíra,משקה חריף מותסס,אתה רוצה לשתות בירה?,אַתָּה רוֹצֶה לִשְׁתּוֹת בִּירָה?,Do you want to drink beer?
before,A2,preposition,לפני,לִפְנֵי,lifnéi,לפני זמן מסוים,לפני האוכל אנחנו רוחצים ידיים.,לִפְנֵי הָאוֹכֶל אֲנַחְנוּ רוֹחֲצִים יָדַיִם.,"Before eating, we wash our hands."
begin,B2,verb,החל,הֵחֵל,heħél,התחיל פעולה,השיעור החל בזמן וללא עיכובים.,הַשִּׁעוּר הֵחֵל בִּזְמַן וּלְלֹא עִכּוּבִים.,The lesson began on time and without delays.
"behave, act",B1,verb,התנהג,הִתְנַהֵג,hitnahég,התנהג בצורה מסוימת,הילדה התנהגה באופן מוזר.,הַיַלְדָּה הִתְנַהֲגָה בְּאָפֶן מוּזָר.,The child behaved strangely.
being,B2,feminine,ישות,יְשׁוּת,yeshút,,כל ישות ביקום יחידתית ומיוחדת.,כָּל יְשׁוּת בַּיְּקוּם יְחִידָתִית וּמְיֻחֶדֶת.,Every being in the universe is unique and special.
"belief, faith",B1,feminine,אמונה,אֱמוּנָה,emuná,אמונה פנימית ברעיון או באלוהים,היתה לו אמונה בעצמו שהוא יצליח.,הָיְתָה לוֹ אֱמוּנָה בְּעַצְמוֹ שֶׁהוּא יַצְלִיחַ.,He had faith in himself that he would succeed.
bell pepper,B2,feminine,גמבה,גַּמְבָּה,gámba,ירק אדום מתוק,הוא חתך גמבה לחתיכות קטנות.,הוּא חָתַךְ גַּמְבָּה לְחֲתִיכוֹת קְטַנּוֹת.,He cut the bell pepper into small pieces.
between,A1,preposition,בין,בֵּין,béin,גוף עגול שמטילים תרנגולות ובעלי חיים אחרים,הבית שלי בין החנות לבית־הספר.,הַבַּיִת שֶׁלִּי בֵּין הַחֲנוּת לְבֵית־הַסֵּפֶר.,My house is between the store and the school.
"Bible, the",B2,masculine,המקרא,הַמִּקְרָא,hamikrá,,המקרא הוא הכתוב הקדוש של היהדות.,הַמִּקְרָא הוּא הַכְּתוּב הַקָּדוֹשׁ שֶׁל הַיַּהֲדוּת.,The Bible is the sacred text of Judaism.
bicycle,A1,masculine,אופניים,אוֹפַנַּיִם,ofanáyim,כלי תחבורה דו־גלגלי שמניעים ברגליים,הילד רוכב על אופניים.,הַיֶּלֶד רוֹכֵב עַל אוֹפַנַּיִם.,The boy is riding a bicycle.
"big, great",A1,adjective,גדול,גָּדוֹל,gadól,בעל מידה גדולה או חשוב מאוד,הבית גדול מאוד.,הַבַּיִת גָּדוֹל מְאוֹד.,The house is very big.
biology,B1,feminine,ביולוגיה,בְּיוֹלוֹגְיָה,biyológya,מדע החוקר יצורים חיים,בביולוגיה אנחנו לומדים על תאים.,בְּבִיּוֹלוֹגְיָה אֲנַחְנוּ לוֹמְדִים עַל תָּאִים.,"In biology, we study cells."
bird,A1,feminine,ציפור,צִפּוֹר,tsipór,יצור מכוסה נוצות היכול לעוף,הציפור עפה בשמים.,הַצִּפּוֹר עָפָה בַּשָּׁמַיִם.,The bird is flying in the sky.
birth,B2,feminine,הולדת,הוֹלֶדֶת,hulédet,לידה של תינוק,ההולדת שלה היתה בתוך חודש חגיגי.,הַהוֹלֶדֶת שֶׁלָּהּ הָיְתָה בְּתוֹךְ חֹדֶשׁ חַגִיגִי.,Her birth was during a festive month.
birthday,A1,masculine,יום הולדת,יוֹם הֻלֶּדֶת,yom hulédet,יום לציון הולדת אדם,היום יום הולדת שלי!,הַיּוֹם יוֹם הוּלֶדֶת שֶׁלִּי!,Today is my birthday!
bisexual,B2,adjective,דו מיני,דּוּ־מִינִי,du miní,בעל משיכה לשני המינים,הוא הודות דו-מיני ושמח בהזהות שלו.,הוּא הוֹדוֹת דוּ-מִינִי וְשָׂמֵחַ בְּהַזֶּהוּת שֶׁלוֹ.,He proudly identifies as bisexual.
bitter,B2,adjective,מר,מַר,mar,,האוכל הזה מר מדי לטעמי.,הָאוֹכֶל הַזֶּה מָר מִדַּי לְטַעְמִי.,This food is too bitter for my taste.
bitter herbs,B2,masculine,מרור,מָרוֹר,marór,,הם אכלו מרור כחלק מהסדר.,הֵם אָכְלוּ מָרוֹר כְּחֵלֶק מֵהַסֵּדֶר.,They ate bitter herbs as part of the Seder.
black,A1,adjective,שחור,שָׁחוֹר,shaħór,צבע בין אפור ללבן,הכובע שחור.,הַכּוֹבַע שָׁחוֹר.,The hat is black.
black box,B2,feminine,קופסה שחורה,קוּפְסָה שְׁחוֹרָה,kufsá shħorá,,הטייסים נתבים על ידי קופסה שחורה במטוס.,הַטַּיָּסִים נִתָּבִים עַל יְדֵי קוּפְסָה שְׁחוֹרָה בַּמָּטוֹס.,Pilots are guided by the black box in the aircraft.
black market,B2,masculine,שוק שחור,שׁוּק שָׁחוֹר,shuk shaħór,,שוק שחור מגדיל את הפרות הכלכליות.,שׁוּק שָׁחוֹר מַגְדִּיל אֶת הַפְּרָתוֹת הַכַּלְכָּלִיּוֹת.,The black market increases economic violations.
black pepper,A2,masculine,פלפל שחור,פִּלְפֵּל שָׁחוֹר,pilpel shaħór,תבלין חריף שחור,הוא שם פלפל שחור במרק.,הוּא שָׂם פִּלְפֵּל שָׁחוֹר בַּמָּרָק.,He put black pepper in the soup.
